,period,xgap,hubheight,rtr,ground,front,rear
0,5TO5,0.0,1.5,5.0,"[0.26081974 0.25438044 0.28064243 0.30288475 0.34186668 0.37514402
 0.42085225 0.45304236 0.48431414 0.49607947 0.51454298 0.50482805
 0.51270272 0.53601603 0.56606738 0.58747835 0.60627637 0.60768388
 0.64109381 0.65232049 0.65838276 0.6721554  0.6733359  0.69530778
 0.6822804  0.68951161 0.68235244 0.67989648 0.66758023 0.66361367
 0.66389884 0.64409857 0.63063355 0.60183514 0.57254718 0.5548012
 0.54967649 0.50605957 0.48549739 0.46318514 0.44873668 0.43791531
 0.43405098 0.39216416 0.37402781 0.33172678 0.30734497 0.27810691
 0.26816344 0.25797528 0.25625919]","[1.20518214 1.21448728 1.21953848 1.22410186 1.22780996 1.22695112
 1.2228129  1.21763019 1.20788062]","[0.10517483 0.09985882 0.09499907 0.09215837 0.09128719 0.09157962
 0.09382527 0.09721713 0.10153822]"
1,6TO6,0.0,1.5,5.0,"[0.26243104 0.2668241  0.29057491 0.30518125 0.32321286 0.35796755
 0.39991466 0.43815628 0.4785641  0.48560891 0.49825736 0.49957786
 0.51067026 0.52312223 0.55680334 0.5710985  0.62633743 0.64197596
 0.63890655 0.65425603 0.65663744 0.65029034 0.66809173 0.66226765
 0.66543709 0.65698532 0.66007345 0.64577283 0.63514162 0.63069002
 0.62922817 0.63528358 0.63395315 0.62567346 0.58103357 0.55923359
 0.52080609 0.50369694 0.47497057 0.45871648 0.4497101  0.43964964
 0.42626222 0.38947871 0.36586969 0.30743173 0.28385078 0.275601
 0.27783593 0.27033152 0.27166891]","[1.1872566  1.1997157  1.2066851  1.19870383 1.19767893 1.19619134
 1.19351343 1.18670182 1.18620206]","[0.10568047 0.09994994 0.09536697 0.09276719 0.09171357 0.09205114
 0.09371572 0.09743064 0.10162049]"
2,7TO7,0.0,1.5,5.0,"[0.25161816 0.25782055 0.30849813 0.32303445 0.34038564 0.3779354
 0.43246006 0.47812247 0.51486788 0.54047196 0.55815815 0.53374958
 0.5513419  0.57911579 0.6083245  0.61510787 0.62159684 0.64657441
 0.65504561 0.66138151 0.66541383 0.68246383 0.69562508 0.68582665
 0.6893308  0.66921055 0.66028385 0.6636623  0.64277291 0.64288687
 0.63436641 0.61864476 0.60971055 0.58306348 0.53518907 0.50874557
 0.48356387 0.46199773 0.42953076 0.43366752 0.42291515 0.41690219
 0.40597002 0.35214687 0.33174956 0.2846162  0.26530468 0.2537627
 0.24538019 0.24320332 0.25088456]","[1.19017759 1.19935502 1.21110013 1.21700227 1.22362019 1.22495803
 1.22123524 1.21254298 1.2016794 ]","[0.10477258 0.09869169 0.0938141  0.09083452 0.08985556 0.08986434
 0.09197306 0.0955435  0.10012869]"
3,8TO8,0.0,1.5,5.0,"[0.26191086 0.27247465 0.28000566 0.29319022 0.33444039 0.36491261
 0.41124178 0.42173708 0.49064126 0.50874582 0.54006424 0.55509934
 0.55764816 0.56698207 0.58154109 0.59629945 0.60529195 0.61921012
 0.64018264 0.65410431 0.66437825 0.67091042 0.67401228 0.66495149
 0.66576192 0.66727787 0.66044505 0.66286035 0.66575948 0.6615292
 0.65488001 0.63210021 0.6225315  0.59273187 0.56976    0.55675883
 0.51220456 0.49185252 0.45737043 0.44357986 0.40679597 0.38735751
 0.36976853 0.35278255 0.34567101 0.33304829 0.30031964 0.27371501
 0.25833336 0.25256524 0.26538481]","[1.21420846 1.22133707 1.21721588 1.22528932 1.22002879 1.2240534
 1.22610761 1.22341829 1.20874196]","[0.1049175  0.09896671 0.09449443 0.09126155 0.0904488  0.09061168
 0.09283462 0.09648746 0.10127839]"
4,9TO9,0.0,1.5,5.0,"[0.26986606 0.27814851 0.29391922 0.31981571 0.33734743 0.36254635
 0.38264105 0.4186131  0.4380814  0.4386886  0.45734485 0.46537408
 0.48796511 0.52542027 0.54781981 0.57304645 0.57909163 0.61096647
 0.62364965 0.64578994 0.63684397 0.64044051 0.64694618 0.64741718
 0.6396808  0.63490093 0.63630258 0.63043601 0.61144038 0.61643476
 0.60307563 0.59778982 0.57563829 0.55930607 0.53965248 0.53122308
 0.5185948  0.50021079 0.49246303 0.48182737 0.45999968 0.43484297
 0.41671756 0.3835566  0.34875236 0.33328474 0.30699904 0.28323089
 0.28516236 0.27181189 0.27078232]","[1.19031297 1.20301983 1.21964039 1.22856894 1.23300043 1.23454166
 1.23640858 1.24120895 1.240323  ]","[0.10233204 0.09707026 0.09291121 0.09034487 0.08991602 0.09036147
 0.09247543 0.09608796 0.10112025]"
5,5TO9,0.0,1.5,5.0,"[0.2632531  0.26631736 0.29139204 0.30821682 0.33843133 0.36964791
 0.40824035 0.445394   0.47940385 0.49529848 0.5094966  0.51544737
 0.52733195 0.54447517 0.57865668 0.59196711 0.60818871 0.6227637
 0.64197952 0.65385357 0.66428137 0.67508986 0.67722409 0.6740189
 0.67035248 0.66674091 0.66331373 0.65926079 0.64990745 0.64449922
 0.63267681 0.6277592  0.60887323 0.58941526 0.55897192 0.530516
 0.51247389 0.4861911  0.465958   0.4521968  0.43600887 0.42435039
 0.40334801 0.39477424 0.35390268 0.31772936 0.28984166 0.28421331
 0.26251253 0.25927053 0.26414558]","[1.1870586  1.19752625 1.22042423 1.22272176 1.22139172 1.2209367
 1.21682008 1.21240098 1.21273923]","[0.10447735 0.09873594 0.09459952 0.0915385  0.09078651 0.09105119
 0.09315792 0.09653833 0.10142553]"
6,5TO5,1.0,1.5,5.0,"[0.54956341 0.55107334 0.55278859 0.57220883 0.60498969 0.62959841
 0.6519906  0.65871405 0.68934273 0.69863374 0.70353675 0.70477647
 0.71648433 0.72792936 0.73305261 0.73485906 0.75048746 0.75844313
 0.76690454 0.76949642 0.79562984 0.79522985 0.80079921 0.8010736
 0.78753642 0.78426901 0.78461658 0.78148612 0.77829125 0.78560628
 0.78290295 0.77670988 0.76963638 0.7625284  0.75261098 0.7301515
 0.72526015 0.70922056 0.71307379 0.69990101 0.69207264 0.67737293
 0.66100694 0.66229184 0.63405757 0.61677769 0.5841217  0.56667045
 0.54231627 0.55475514 0.54984757]","[1.22858784 1.23364582 1.23787343 1.23099647 1.23151495 1.22935692
 1.23382846 1.23248985 1.23162338]","[0.15175897 0.14919862 0.14685624 0.14547429 0.14429606 0.14448835
 0.14570973 0.14751324 0.14906613]"
7,6TO6,1.0,1.5,5.0,"[0.49360163 0.49467658 0.52066497 0.54084367 0.54147719 0.57575017
 0.61179922 0.62086562 0.64239482 0.66617331 0.66093204 0.66767202
 0.67959242 0.6706496  0.69481794 0.70107814 0.71025981 0.7218538
 0.72737578 0.72706079 0.73653652 0.7294401  0.72976798 0.75316703
 0.74556401 0.74446492 0.73946864 0.72605447 0.72785668 0.70901546
 0.68946885 0.69768602 0.69948915 0.69476286 0.67739022 0.67273871
 0.65179766 0.64834336 0.63615182 0.62508564 0.60782119 0.60780422
 0.60500038 0.58496721 0.57393883 0.53628926 0.51201694 0.50434381
 0.48622574 0.49280895 0.49843343]","[1.20459882 1.20547657 1.20954108 1.217271   1.223552   1.22060395
 1.21416277 1.20870431 1.20755803]","[0.14996077 0.14748022 0.14547283 0.14394834 0.1437462  0.14363478
 0.14453469 0.14575701 0.14857517]"
8,7TO7,1.0,1.5,5.0,"[0.47417651 0.47160408 0.50974437 0.53300998 0.57240747 0.6063708
 0.63352705 0.68471254 0.70444677 0.69833167 0.70610321 0.70728503
 0.69823943 0.71679169 0.72732725 0.73697889 0.7545258  0.76671737
 0.76586174 0.76590274 0.76709187 0.77384472 0.77021819 0.77521092
 0.77608877 0.76828005 0.75337339 0.74077749 0.73836796 0.71494708
 0.69574843 0.69116754 0.68958304 0.68446483 0.66740889 0.64906788
 0.63598001 0.62732568 0.6074773  0.59965333 0.58732379 0.57375701
 0.55543153 0.55234793 0.5312846  0.49729567 0.48130925 0.47350063
 0.46444149 0.46183674 0.47701032]","[1.22244372 1.2246397  1.22710538 1.22067834 1.22333496 1.22376117
 1.23358122 1.23203489 1.2281772 ]","[0.15015751 0.14742872 0.14527469 0.14399997 0.14297885 0.14312105
 0.144322   0.14587757 0.14802093]"
9,8TO8,1.0,1.5,5.0,"[0.6765332  0.68161638 0.68745774 0.71346793 0.73364156 0.7329664
 0.74856927 0.77839157 0.77679124 0.78998254 0.79793701 0.8005086
 0.80994753 0.80507243 0.80917118 0.82113779 0.82758682 0.83759989
 0.84612803 0.84079513 0.83971492 0.84404914 0.84068254 0.83843327
 0.83462012 0.8367055  0.83232777 0.83331462 0.8352933  0.82755782
 0.83607033 0.8341406  0.83614935 0.83196741 0.82711504 0.82189098
 0.79385277 0.78336082 0.77762255 0.76685376 0.77060598 0.75740287
 0.74874499 0.74162157 0.74775244 0.73612041 0.70421149 0.68769613
 0.67627466 0.6660692  0.66208895]","[1.22876657 1.23268058 1.23660391 1.23652391 1.23903861 1.23551565
 1.23785157 1.23312632 1.23338363]","[0.15162808 0.14905238 0.14718585 0.14542201 0.1451746  0.14445412
 0.14581406 0.14685113 0.14930854]"
10,9TO9,1.0,1.5,5.0,"[0.80308447 0.80442576 0.81052373 0.82461934 0.80431906 0.80737988
 0.81871626 0.82135628 0.81504511 0.82147769 0.82382629 0.82707546
 0.81959081 0.8165444  0.81164252 0.81663063 0.8188522  0.82563903
 0.82898053 0.82528523 0.82851291 0.83645414 0.84142753 0.84960666
 0.84352839 0.86345699 0.8577016  0.85708153 0.83177617 0.82901145
 0.82188964 0.80640535 0.80540912 0.80008905 0.80619669 0.81464514
 0.81852543 0.82122739 0.81664418 0.81522134 0.80704228 0.80955086
 0.80505153 0.79928533 0.81934215 0.81007659 0.80732773 0.81861552
 0.81780636 0.81083492 0.80055427]","[1.24401908 1.25102275 1.25739851 1.26292377 1.2649662  1.26166416
 1.25157552 1.25103719 1.24978404]","[0.15018347 0.14764812 0.14503655 0.14361252 0.14305128 0.14303674
 0.144416   0.14579996 0.14857837]"
11,5TO9,1.0,1.5,5.0,"[0.58906032 0.58577432 0.61108759 0.63061414 0.64321493 0.67199627
 0.69425885 0.70188517 0.71714814 0.72723302 0.72904975 0.73009452
 0.7324367  0.73922352 0.74857425 0.75554149 0.76068064 0.77129246
 0.77452927 0.78625599 0.79713998 0.80340118 0.80564074 0.79851488
 0.80315754 0.79338018 0.78852238 0.77606216 0.78151285 0.7695162
 0.76574549 0.76726894 0.76291601 0.74591508 0.74230846 0.73552844
 0.7207122  0.71979992 0.70256913 0.69259595 0.68488124 0.68168936
 0.67832378 0.66991895 0.64986394 0.63104988 0.6068082  0.59996624
 0.58992968 0.58634563 0.59084281]","[1.22888451 1.23311619 1.23301041 1.2334485  1.23571607 1.2326064
 1.22956768 1.22470893 1.22070777]","[0.15100666 0.14838666 0.1459507  0.14411541 0.14350614 0.14356902
 0.14499474 0.14611393 0.14868833]"
12,5TO5,0.0,1.5,10.0,"[0.33654553 0.34121951 0.35417058 0.37854373 0.41920946 0.44661437
 0.4957358  0.52616253 0.56812456 0.58183672 0.59586645 0.59236697
 0.59981784 0.63079266 0.6608325  0.692551   0.70690919 0.73934337
 0.75868674 0.77514704 0.77869605 0.79721321 0.81079752 0.82955252
 0.82940824 0.83420183 0.84277035 0.84948594 0.8550135  0.85897202
 0.87367097 0.87928717 0.88501119 0.88765854 0.88688417 0.88633108
 0.88907227 0.89294173 0.89414929 0.89501911 0.89925962 0.89649709
 0.89737389 0.9026366  0.91111562 0.90843242 0.90825146 0.91654468
 0.91588837 0.91720642 0.91660957 0.91236155 0.91222314 0.9072961
 0.90618963 0.91174769 0.90611988 0.90552851 0.90543385 0.90477406
 0.88807567 0.88626242 0.89400618 0.88704601 0.88460984 0.88213654
 0.88262072 0.8797435  0.87660903 0.86288348 0.86316599 0.86121094
 0.84406835 0.83595207 0.81953051 0.81398825 0.80228265 0.78944992
 0.78199817 0.76085181 0.75176496 0.73245962 0.7192768  0.67666108
 0.65366425 0.6380889  0.61968646 0.5862498  0.56363439 0.5462448
 0.53927949 0.52710238 0.51760454 0.4761222  0.44635242 0.39980807
 0.37745266 0.3553908  0.33567014 0.3290922  0.3297869 ]","[1.27061099 1.27319761 1.27626682 1.28292709 1.27767923 1.2748534
 1.25990624 1.25835843 1.26066391]","[0.1327328  0.1268342  0.12083098 0.117276   0.11603697 0.11605642
 0.11818957 0.12134127 0.12608437]"
13,6TO6,0.0,1.5,10.0,"[0.32959711 0.32848398 0.3562464  0.37138348 0.39719039 0.43118218
 0.47753316 0.51771102 0.55079522 0.56195678 0.57159494 0.58084606
 0.59173245 0.61775195 0.65352647 0.67842561 0.71094853 0.73970188
 0.74655339 0.75256852 0.76546737 0.77652548 0.77226537 0.79675533
 0.80790011 0.82005215 0.82811956 0.83703583 0.83742592 0.84044496
 0.84924047 0.85072838 0.86241764 0.87110292 0.87178861 0.87816048
 0.88536416 0.89060664 0.88925418 0.89143532 0.8935985  0.89221954
 0.89560309 0.89360866 0.89401108 0.89566805 0.90711364 0.90519931
 0.90486138 0.90753629 0.90771311 0.90589961 0.89316931 0.89239141
 0.89026085 0.88235885 0.88401992 0.88302287 0.88537924 0.8826287
 0.8822707  0.8633364  0.86266982 0.85621378 0.8482825  0.84117159
 0.83803957 0.82255196 0.82440803 0.81514111 0.8090895  0.80725058
 0.8126588  0.8067108  0.79353353 0.7861983  0.78469263 0.77085116
 0.76121903 0.74676275 0.72683852 0.71613247 0.70099952 0.6858094
 0.66534251 0.62501994 0.60607044 0.55327262 0.53889626 0.51908438
 0.51454705 0.50790712 0.49924403 0.44822955 0.4250929  0.37972651
 0.35999899 0.35581579 0.3414345  0.33729824 0.32755195]","[1.25823195 1.25986054 1.26260185 1.2483097  1.24526191 1.24113953
 1.2387681  1.24424575 1.23777145]","[0.12961795 0.12284705 0.11784414 0.11452758 0.11372266 0.11414295
 0.11632674 0.12016794 0.12466498]"
14,7TO7,0.0,1.5,10.0,"[0.31902662 0.32522278 0.3737902  0.38497333 0.41831241 0.46329143
 0.51315608 0.5638667  0.6023882  0.61353186 0.62018459 0.63358977
 0.64202175 0.67001006 0.69553946 0.7261598  0.75971055 0.7804238
 0.78254759 0.78600839 0.79323304 0.81701163 0.8277122  0.83707348
 0.84886058 0.85415193 0.86378863 0.87797629 0.87960635 0.87166688
 0.87551376 0.87666104 0.88058411 0.88289444 0.89522551 0.89605314
 0.89863325 0.90124247 0.90118529 0.901942   0.90789498 0.90923829
 0.90763044 0.90794372 0.91143    0.91148993 0.90765578 0.91080655
 0.89551232 0.89583014 0.89576986 0.89568007 0.89598881 0.88781478
 0.88860036 0.88893025 0.88895439 0.90299207 0.90345666 0.89346552
 0.88926059 0.88468743 0.8827698  0.88268761 0.87720207 0.86916959
 0.87149475 0.86830743 0.85790349 0.85497423 0.84364713 0.81527512
 0.80892324 0.79269335 0.78894843 0.78523118 0.78171879 0.75628182
 0.74507322 0.72514566 0.70728486 0.69232126 0.68353353 0.66958144
 0.63320593 0.59114307 0.55167959 0.52212795 0.49217075 0.47453878
 0.47210299 0.46177487 0.45587839 0.41517559 0.39247979 0.35284727
 0.32886125 0.3192378  0.31341213 0.31070693 0.32294848]","[1.25927733 1.26066273 1.26201682 1.2534348  1.24971394 1.25164845
 1.27104624 1.27061416 1.27101828]","[0.12827995 0.12174862 0.1157961  0.11282905 0.11173338 0.11210513
 0.11477229 0.11841286 0.12301046]"
15,8TO8,0.0,1.5,10.0,"[0.33698087 0.34965451 0.34962972 0.36339073 0.41142867 0.45337945
 0.49855438 0.53368535 0.56868294 0.59230166 0.63247942 0.64958368
 0.66404842 0.67643059 0.68703302 0.69259124 0.70315286 0.71947933
 0.75314694 0.7796823  0.79832698 0.81629587 0.82146456 0.83554443
 0.83908604 0.84635476 0.85141204 0.84939957 0.85429421 0.86167299
 0.86186763 0.86193186 0.87470794 0.87641577 0.87967407 0.88386649
 0.87877984 0.87722706 0.88155869 0.89513402 0.89628587 0.89874352
 0.91258104 0.90668508 0.91100825 0.91148968 0.91146149 0.91250582
 0.91509192 0.91736332 0.91648219 0.91238252 0.91781    0.91693346
 0.90664325 0.90560008 0.90461451 0.90444817 0.90276488 0.90173448
 0.89388743 0.89051092 0.87530434 0.8714958  0.86898417 0.86471888
 0.85630135 0.85298167 0.84465901 0.84133529 0.83635484 0.82197882
 0.81438139 0.8048102  0.80166115 0.78517092 0.79378564 0.78247989
 0.77920952 0.76552009 0.7556333  0.72982145 0.70196849 0.67590934
 0.63720686 0.61915768 0.58437031 0.55694812 0.53662748 0.52386051
 0.5211204  0.47083025 0.45853638 0.44553691 0.43386412 0.42232021
 0.36810756 0.34468455 0.32918566 0.33047044 0.33480894]","[1.27013624 1.27119409 1.27223707 1.26122622 1.25890484 1.25941036
 1.27157126 1.27165221 1.2729694 ]","[0.12979876 0.12308111 0.11814387 0.11486951 0.1136602  0.11403586
 0.11604852 0.1199622  0.1254241 ]"
16,9TO9,0.0,1.5,10.0,"[0.34863784 0.3570842  0.38501578 0.40334306 0.42909689 0.46115206
 0.48715681 0.51135278 0.52270761 0.54098374 0.56297613 0.58043288
 0.5957352  0.62879533 0.64841776 0.67407335 0.68584566 0.69460536
 0.7273133  0.74300442 0.76260947 0.77114732 0.77105353 0.77760243
 0.78673739 0.79495229 0.80142994 0.8105324  0.81546093 0.81474422
 0.82265495 0.82575292 0.83380243 0.8399157  0.84260988 0.84958942
 0.85970238 0.86105442 0.85883961 0.86344724 0.86699825 0.86919804
 0.8713423  0.88464138 0.88953932 0.89222496 0.89555328 0.8966867
 0.89611366 0.89713546 0.89844789 0.89786021 0.89171743 0.88986742
 0.88779895 0.88655045 0.88553215 0.88466249 0.87836948 0.87716015
 0.87731754 0.87278032 0.8710914  0.87023236 0.86085599 0.85857037
 0.85947623 0.85001615 0.84240538 0.83800108 0.8312866  0.8225527
 0.81643253 0.80468456 0.7972106  0.78471208 0.7742775  0.76926047
 0.75014233 0.74237423 0.72044749 0.70746141 0.68923639 0.66539491
 0.63654823 0.62750999 0.60959071 0.58688431 0.57377228 0.56411677
 0.54596894 0.52228031 0.50425098 0.47190428 0.44397041 0.41344022
 0.40233812 0.36854476 0.36509326 0.36737192 0.34537672]","[1.29306269 1.29469281 1.29704875 1.3032459  1.30492512 1.30893509
 1.30177123 1.30418397 1.29749717]","[0.12719714 0.12165894 0.11741639 0.11464426 0.11384812 0.11446091
 0.11652894 0.12044895 0.12613078]"
17,5TO9,0.0,1.5,10.0,"[0.34162767 0.34616984 0.36422993 0.38660892 0.4139076  0.44977208
 0.49422994 0.5288341  0.56860641 0.59450839 0.60129703 0.60270226
 0.62208473 0.64793215 0.66329644 0.68929266 0.71759814 0.74558629
 0.7600503  0.77390328 0.78148009 0.80368775 0.80985348 0.82899981
 0.83453431 0.8418924  0.84716864 0.85479092 0.85941697 0.8638676
 0.86995861 0.87564509 0.87188998 0.88055505 0.88472778 0.88961941
 0.89228287 0.89492533 0.8968274  0.90460579 0.90803151 0.90699518
 0.90432683 0.90506826 0.90647209 0.91292123 0.90780145 0.90662151
 0.90272767 0.90265044 0.90376303 0.90589788 0.90218004 0.90622384
 0.89417118 0.89335925 0.8921348  0.88692726 0.88767868 0.8876122
 0.88270499 0.88106394 0.87943632 0.8766313  0.87436085 0.86929717
 0.85818711 0.85679435 0.85232377 0.84965187 0.84790282 0.83169672
 0.82252421 0.81900393 0.80436222 0.79602278 0.78009421 0.76460773
 0.7630104  0.73117288 0.72919953 0.72257144 0.71113589 0.67643912
 0.64131828 0.61755904 0.58770116 0.56475779 0.53761737 0.5208658
 0.50886479 0.4930787  0.48465024 0.46147604 0.42734702 0.40090148
 0.36302431 0.34812792 0.33000188 0.32795175 0.33485728]","[1.27124083 1.27291255 1.27466426 1.26823877 1.26879439 1.27004853
 1.2609504  1.263203   1.26477125]","[0.12896069 0.12298877 0.11778054 0.11451118 0.11343631 0.11385274
 0.11586955 0.11967481 0.12444825]"
18,5TO5,1.0,1.5,10.0,"[0.59122182 0.58725487 0.60911103 0.62654537 0.64847729 0.67819875
 0.70941303 0.72166104 0.73068619 0.75668295 0.76068458 0.76269032
 0.7754356  0.77926821 0.78796056 0.80280362 0.82173996 0.82991331
 0.8427939  0.85070845 0.86262981 0.86933767 0.86927829 0.88763902
 0.89323529 0.8987154  0.90275613 0.90763487 0.90797489 0.90731741
 0.91466074 0.91689083 0.91722806 0.92507623 0.92971455 0.93102462
 0.93436842 0.93583552 0.93688023 0.93117421 0.9375019  0.93814101
 0.94040086 0.9443571  0.94938146 0.94929225 0.94901221 0.94860327
 0.95471359 0.95255991 0.95242721 0.9497955  0.93260385 0.93218299
 0.93255265 0.93210751 0.9325395  0.93171909 0.93646543 0.93449165
 0.93136943 0.93297621 0.93029731 0.91469852 0.91373037 0.9167165
 0.91459779 0.91076883 0.90916176 0.90164023 0.89698796 0.89301877
 0.88633574 0.88870518 0.8779979  0.87666155 0.87325374 0.86974571
 0.86031245 0.86119725 0.8554158  0.85337037 0.84513946 0.82065505
 0.80031951 0.79408445 0.78083971 0.76457899 0.75980938 0.74789829
 0.73464745 0.7348629  0.72261522 0.71759329 0.67581959 0.64605658
 0.63154628 0.62168227 0.59122754 0.58302802 0.57930577]","[1.27795824 1.27839934 1.27879905 1.2764107  1.27843167 1.28016655
 1.27996337 1.29017064 1.28691054]","[0.16674008 0.16374638 0.1607147  0.15925788 0.15898805 0.15926683
 0.16008937 0.16169946 0.16446667]"
19,6TO6,1.0,1.5,10.0,"[0.52891856 0.53036097 0.56589822 0.58167194 0.6063286  0.6278244
 0.64207719 0.69169272 0.70095909 0.72031202 0.72184292 0.71941433
 0.72971402 0.73668323 0.75111782 0.76407799 0.80355282 0.81671987
 0.82466916 0.83792547 0.84044281 0.84593603 0.85014144 0.86501849
 0.87108917 0.88227862 0.87652774 0.88322548 0.88587148 0.89937311
 0.89492841 0.898537   0.91209709 0.91299406 0.91423576 0.92319711
 0.92335983 0.9254106  0.92694348 0.92782986 0.92755466 0.92736006
 0.92846656 0.91812716 0.91984642 0.91872387 0.91852538 0.91667798
 0.91740148 0.91812153 0.91737133 0.91753557 0.92370934 0.91998717
 0.91910436 0.91483304 0.91442632 0.91377706 0.91734216 0.91721538
 0.9191758  0.91790868 0.91122929 0.90261432 0.90228792 0.90425363
 0.90430078 0.89538219 0.88616097 0.87669407 0.86997833 0.86175996
 0.86378561 0.86573254 0.84095863 0.82947586 0.82402935 0.81389306
 0.80230719 0.78043602 0.77087641 0.75762333 0.74486298 0.73639451
 0.73245629 0.71490052 0.70044291 0.69565658 0.6798843  0.65192727
 0.64852058 0.64401502 0.63949701 0.62870125 0.61829307 0.57773188
 0.55994165 0.55406795 0.54227069 0.53797235 0.54821222]","[1.25625576 1.25688087 1.25750489 1.25104233 1.24377575 1.24701141
 1.25417686 1.25573571 1.25831438]","[0.16497351 0.16220867 0.15964702 0.1580768  0.15779854 0.15768189
 0.15928808 0.16059036 0.16330535]"
